id,Movie_Title,Genre,Director,Release_Date,Rating
73,Il piccolo diavolo,comedy,Zedekiah Gosswell,4/24/2008,8.1
74,"Yes Men Fix the World, The",romance,Delmar Soutter,7/25/2007,8.9
75,xXx,comedy,Gilbert Scarratt,12/17/2017,8.1
76,Stavisky...,thriller,Corly Urion,3/14/2007,8.0
77,Atlantis: The Lost Empire,thriller,Erich Seeks,8/5/2022,7.3
78,Oliver Twist,thriller,Cherrita Padden,5/25/2013,6.9
79,Coming Home (Gui lai),drama,Claudelle Gatrell,7/10/2022,9.3
80,Laura,thriller,Randa Bairstow,3/23/2015,6.9
81,3 Idiots,drama,Alexandros Saunderson,3/16/2003,5.3
82,Aamir,drama,Levin Pechell,7/20/2001,5.8
83,Safe Sex,action,Hermina Greenside,5/5/2015,5.5
84,Beyond the Poseidon Adventure,comedy,Donni Kilduff,6/11/2016,6.8
85,"Pope of Greenwich Village, The",drama,Brennen Stolli,11/7/2007,5.1
86,"Brothers Bloom, The",drama,Drucy Heakins,11/25/2000,7.5
87,"Fighter, The",comedy,Boris Kemsley,6/19/2004,6.4
88,Lunopolis,action,Berky Stolworthy,1/24/2017,7.0
89,Cinderella II: Dreams Come True,drama,Carley Stife,7/8/2009,8.9
90,Videodrome,thriller,Katrine Thurnham,9/12/2010,8.9
91,"Hunter, The",action,Caresse Wilcocks,1/13/2006,7.1
92,"Business of Fancydancing, The",action,Aurlie Guillot,6/11/2013,6.8
93,"Story of Floating Weeds, A (Ukikusa monogatari)",thriller,Anne Valois,4/21/2019,6.8
94,Isadora,romance,Tull Wenban,3/20/2007,7.2
95,Into the Forest of Fireflies' Light,drama,Mora Brazur,12/27/2008,9.2
96,Defense of the Realm,thriller,Adan Mattea,10/30/2009,5.1
97,Jerusalem Countdown,drama,Cristal Caberas,5/5/2015,8.7
98,"Beast, The",romance,Connie Falkous,1/13/2008,6.3
99,It Runs in the Family,comedy,Dona Sidwick,4/3/2014,6.5
100,Hawking,drama,Alfie Braams,7/17/2010,6.9
